Sample A	Sample B	Sample C	Sample D	Sample E
1439.059211	561.932416	637.713358	2161.252064	561.913283
1439.189929	561.343875	636.860368	2160.860195	562.382989
1438.515107	561.068893	637.32189	2161.126732	562.121328
1438.990441	561.277095	637.779227	2161.108353	562.201096
1439.219332	561.713503	637.631608	2161.249813	562.313378
1439.058652	561.078684	638.215663	2161.355232	562.48214
1438.723636	561.750859	637.67745	2161.294751	561.914132
1439.150579	563.034626	637.306141	2161.683771	560.925116
1439.246039	561.489608	638.340345	2161.11233	561.904744
1439.339264	561.904126	638.152581	2160.063352	562.731994
1438.391186	562.971267	638.873498	2161.053924	561.117613
1438.692368	561.635691	637.173013	2161.394348	561.983888
1439.082152	561.815162	637.307128	2161.769129	561.543703
1439.548542	561.268034	637.823125	2161.894985	562.563257
1438.96125	562.121096	637.772816	2160.808032	562.217934
1438.752127	561.348481	637.552014	2160.951995	561.896524
1439.038357	561.962408	637.339834	2161.684036	561.681711
1438.327284	561.778802	637.219254	2161.49418	561.798864
1439.273595	561.487921	637.63486	2161.268172	562.45662
1438.93737	561.886688	638.037927	2160.455177	562.431073
1439.153886	561.902655	637.937895	2162.035536	562.634916
1438.880292	561.501835	637.68488	2160.793437	562.549809
1438.979709	562.316574	638.067272	2162.549042	561.97219
1438.342136	562.233798	638.071521	2161.056314	562.044861
1439.617669	561.099553	637.164586	2161.777543	561.874384
1439.140769	562.189549	637.886538	2160.938631	561.899851
1438.789746	562.196303	638.065775	2161.078782	561.962364
1439.339827	561.608118	637.567514	2161.04282	562.431261
1439.475272	561.496316	637.44231	2160.656299	561.153823
1439.063401	561.053963	638.057725	2161.255649	562.786451
1439.358993	561.503976	637.617905	2160.691589	562.048277
1438.798003	562.068795	637.901551	2160.966065	562.149674
1438.362792	562.297453	637.96558	2161.413311	561.995113
1438.639951	562.152017	637.914814	2161.354311	561.103038
1439.394557	561.651137	638.268494	2160.974171	561.989948
1439.766886	561.910585	638.160226	2161.252089	561.672733
1439.280278	562.541488	638.185695	2161.836248	562.170213
1438.3291	561.311531	638.045614	2161.919774	563.229674
1438.829211	561.903871	637.231611	2160.5785	561.229716
1438.777224	562.647409	637.211218	2161.584028	561.63298
1439.163973	561.099506	638.740702	2161.319291	562.63381
1438.326045	562.009755	637.872901	2161.812021	562.088881
1439.060839	562.493788	637.760781	2161.88022	562.513677
1438.883719	562.348399	637.246573	2161.444977	561.091261
1439.611506	561.949645	638.205648	2161.384954	561.961367
1439.086245	561.925021	637.709749	2160.683817	562.089992
1439.041527	561.670163	638.449374	2160.695718	561.915175
1438.788826	562.881333	637.405032	2162.111581	561.913389
1438.99714	561.716912	637.32014	2160.650019	561.301
1437.950082	561.616267	637.689797	2161.238818	562.212523
1439.212351	561.880774	637.832609	2161.15235	561.646944
1439.425707	561.190772	637.333002	2161.441929	562.103393
1439.166007	561.611626	637.700891	2161.46426	562.449752
1438.73103	563.239893	638.028429	2160.763577	561.657329
1439.102275	561.488531	637.351233	2161.301945	562.243946
1439.214195	562.089681	637.95465	2161.140096	561.897876
1439.052564	561.771832	637.218618	2161.267602	561.318946
1438.109173	561.994728	637.502847	2161.304645	562.460874
1438.619205	561.061259	638.313407	2161.168063	561.698543
1439.214864	560.949748	637.519124	2161.90184	561.745131
1439.444452	562.311909	637.36955	2160.335611	561.878881
1438.785782	562.268306	637.765165	2161.140613	561.655236
1438.957614	561.395487	638.402513	2160.429999	561.927593
1438.729349	562.447415	637.758453	2161.038752	561.001877
1439.904938	561.880152	637.907158	2160.656096	561.428984
1438.976736	561.491322	637.889787	2161.220507	561.474978
1439.607808	561.420058	637.683451	2161.977913	562.704014
1438.804209	562.075665	636.493567	2161.835174	562.51929
1439.787409	561.655746	638.21806	2160.7478	562.815719
1439.373576	562.715317	637.493642	2161.079132	561.77594
1438.558164	561.453634	638.4694	2161.666975	562.320986
1438.084622	561.844128	638.262171	2160.565812	562.111071
1439.143696	562.18872	637.769367	2161.477549	563.191584
1438.403794	561.994541	637.899446	2161.08579	561.027523
1439.072455	562.504298	637.47362	2161.883864	561.794112
1438.670996	561.516408	637.147886	2161.642311	561.889953
1438.620413	561.858523	637.748062	2161.275652	561.997657
1439.164837	561.780623	637.340817	2160.816272	561.739803
1439.084133	561.219433	636.947421	2161.195788	561.857249
1439.266608	561.669234	638.136159	2161.364565	562.370521
1439.266597	561.407045	638.602846	2161.219172	562.104249
1439.315254	562.373134	637.286642	2161.12388	562.724131
1438.921843	561.952565	638.104613	2161.373879	561.711986
1439.4139	562.3891	638.405212	2161.620082	562.597957
1439.076	562.131428	637.490184	2160.876627	562.278916
1440.261528	562.302339	637.330606	2161.343274	561.179336
1438.533337	562.328969	637.080207	2161.481744	561.954064
1439.443134	561.764835	638.389199	2161.436204	562.314355
1438.813408	561.224893	637.051867	2161.388471	562.428069
1439.410594	561.651021	637.504217	2161.427537	562.34121
1439.280218	561.691151	637.992187	2161.587166	561.803856
1439.190561	561.741678	638.066597	2161.530231	562.431846
1438.370713	561.754567	638.46382	2162.10707	562.619867
1439.804408	561.406269	638.077907	2161.114951	561.651228
1439.032387	562.293217	637.959882	2161.396972	562.739746
1438.883905	562.099377	637.86571	2161.245485	561.987939
1438.992668	562.063817	638.06645	2161.411122	561.741868
1439.065083	561.56876	637.612422	2162.200722	563.035442
1438.840507	562.338059	638.220384	2161.861764	562.320032
1439.397495	561.437888	637.072679	2161.483805	562.261868
1438.894982	562.600197	638.007284	2161.376649	561.805546
1438.951834	561.86662	637.892082	2160.99847	561.952265
1438.971265	562.795692	637.805262	2161.345786	562.001869
1438.430091	561.783804	637.584152	2161.147345	561.759498
1438.333556	562.709587	636.898739	2160.929213	562.310259
1439.394157	561.62068	637.291431	2160.131622	562.688223
1438.770124	561.315117	638.150109	2161.342491	561.588735
1439.472205	561.762735	636.549395	2161.759721	562.060594
1439.386862	561.500408	638.467304	2161.244664	561.977611
